Title,Description,Days,Platform,City,State,Job_type
Business Analyst,"Job Description

Sutherland is seeking a Business Analyst who will be the vital link between our information technology team and Customer IT team with the capacity and our business objectives by supporting and ensuring the successful completion of analytical, building, testing and deployment tasks of our software applications features. If you are looking to build a fulfilling career and are confident you have the skills and experience to help us succeed, we want to work with you! Responsibilities: - Define specifications and business analysis requirements - Perform quality assurance - Define reporting and alerting requirements - Own and develop relationship with partners/customers, working with them to optimize and enhance our integration - Help design, document and maintain system processes - Report on common sources of technical issues or questions and make recommendations to application development team - Communicate key insights and findings to product team - Constantly be on the... loo

Qualifications

To succeed in this position, you must: - Previous experience in Business / Systems Analysis or Quality Assurance - A degree in IT / Computer Science - Proven experience in eliciting requirements and testing - Experience in analyzing data to draw business-relevant conclusions and in data visualization techniques and tools - Basic knowledge in generating process documentation - Strong written and verbal communication skills including technical writing skills - Defining specifications and business analysis requirements - Performing quality assurance - Defining reporting and alerting requirements",25, Able Jobs,Hyderabad, Telangana,Full-time
IT Business Analyst,"Join us as a Technology Business Analyst
• Take on a critical role supporting the bank to achieve customer advocacy by eliciting and understanding the internal and external technology customer needs
• You'll be working in a vibrant, forward looking team and helping us to shape the future of our business
• It’s a great chance to hit the ground running, take advantage of our development opportunities, and advance your career

What you'll do

In your new role, you’ll be producing business requirements to inform future state design, supporting teams in understanding the requirements and their linkages to the overall domain strategy. In the course of your work, we’ll also look to you to build, manage and maintain a positive working relationship with stakeholders and third party suppliers across multiple franchises and functions.

You’ll also be:
• Supporting others to articulate the ideas and requirements in the format required by the team, such as use cases, user journeys, user stories... and illustrations
• Capturing, validating and documenting business and system requirements and making sure that they’re in line with key strategic principles
• Interacting with customers, key stakeholders and the team to obtain and document functional and non-functional needs
• Analysing existing system documentation to summarise existing system functionality as it relates to the work at hand
• Supporting the identification of team priorities based upon feedback from the customers, key stakeholders and the team

The skills you'll need

We’ll look to you to bring a good understanding of Agile values, principles and methodologies with experience of working within an Agile environment. Additionally, you’ll need to hold an appropriate business analyst certification.

You should be keen to predict and prepare for the future trends, and have experience in business analysis and elicitation of requirements, technical analysis and implementation with managing business, and technical analysis of complex Domain, cross franchise and pan group requirements.

You’ll also need:
• An appropriate Business Analyst Certification, such as BAX, CPRE, CBAP, and technical knowledge
• Experience of working in an environment where products have to be delivered to short delivery cycles
• Experience in Implementation of Payment changes and good experience in handling change processes
• Experience of applying business analysis tools and techniques
• Good communication skills, with the ability to communicate complex technical concepts clearly to your peers and management level colleagues
• Good collaboration and stakeholder management skills",0, NatWest Group Careers,Chennai, Tamil Nadu,Part-time
Senior Business Analyst,"Overview

If you’re looking for a career that will help you stand out, join StoneX and fulfil your potential. StoneX offers opportunities, support and rewards that will take you further in terms of learning and career growth.

Responsibilities

We are currently seeking an experienced professional to join our team in the role of a Senior Business Analyst.

In this role, you will:
• Understand E2E business requirements and translate into functional flows and User Stories across a wide array of payments products and technologies in the Global Payments division of StoneX.
• To undertake business analyst roles covering SDLC phases (requirements gathering, feasibility study, functional specifications, interface specifications, test cases).
• Create business models (As-Is and To-Be) and logical data models representing business flows.
• Work in an agile cross functional team and collaborate with the business and architect team to help identify and define end to end flows and solutions.
•... Partner with the business as a member of the technology team and create and maintain the Functional design for the various modules in the platform.
• Identify, create, and maintain Functional Requirements as User Stories with detailed acceptance criteria with examples and Interface requirements with the mappings
• Document and maintain User Stories, Functional Design, and System Specification.
• Responsible for working closely with the Testing SME’s and reviewing test cases, PVT cases, testing results and help business in PVT.
• Own end to end implementation including the Quality of the deliverables
• Provide refined requirement walkthrough to project stakeholders

Requirements

Qualifications

To be successful in this role, you should meet the following requirements:
• 9-16 years of Business Analyst experience with working on Payment processing engine.
• Understanding of the various workstreams involved in Payment’s processing (payments validation and repair, Credit and Debit stack on payments, FX, Sanctions Check, clearing channels and accounting, Static Data, Reporting and Analytics).
• Experience on XML, ISO 20022, SWIFT and other industry standard formats messages.
• Knowledge of trading instruments like FX Spot, Forwards, NDF and the associated payments flows.
• Ability to understand customer business process and requirements and translate into a functional requirement across a wide array of products and technologies.
• Good communication skills (verbal, written, and presentation of complex information and data).
• Ability to create Process workflows, and Activity Diagrams in Visio and any other tool.
• Prior experience with breaking up of EPIC into User Stories and defining the acceptance criteria for them.
• Experience in BDD is preferred (Behaviour Driven Development)
• Excellent multitasking ability - Must have ability to track multiple issues, effectively manage time and competing priorities, and to drive results through partner organizations.
• Experience of working in a back-office environment in Payment domain
• Experience of time-critical regulatory projects in Banking is advantageous
• Awareness of protocols like C:D, FTPS, SFTP is desirable
• Awareness of story slicing and experience in story point estimation technique
• Experience in using any of the ALM tools like Azure / Jira is preferred.
• Basic knowledge on writing SQL queries for extractions required for the data analysis",3, LinkedIn,Pune, Maharashtra,Full-time
India - Business Analyst V,"Description: Responsibilities Lead and engage with Finance/Accounting/Procurement cross functional teams globally at different levels to execute Oracle Application finance functional requirements Document, analyze, and evaluate the requirements and make recommendations Perform fit/gap and define, architect and build solutions on enterprise finance systems that include Oracle eBiz Financials, SaaS applications and other integrated boundary systems Interact with Product Management and Engineering team in global setting to properly assess the requirement. Translate upgrade requirements to system functional design Engage with Engineering teams in converting the functional design, upgrade requirements into a Technical (system) solution. Perform functional test on components. Assist user acceptance tests and provide the functional support to users Contribute and establish standards and best practices Required Skills/ Experience Minimum of 10 years of professional experience with at least 2... end to end ERP implementations and extensive experience in functional design and configuration on Oracle Accounts Receivables, Oracle SLA, Oracle General Ledger, Oracle Payables, Oracle Purchasing, Oracle Cash Management, Bank Integrations, Revpro (RMS) etc with R12 release 12.2 or higher Detailed knowledge of Record to Report, Order to Cash and Procure to Pay business processes and flows. Ability to document these flows Strong understanding of Integrations between finance and boundary systems, data flows and types of technologies used in these integrations. Should have designed few integrations Working knowledge of cloud applications and experienced in at-least 2 cloud application in the finance space Deep understanding of multi-org, multi-geography, multi-currency specific needs and configurations and dependencies in Oracle R12 and third party systems Strong experience in creating BRD (Biz Requirement), FSD (Functional Specification). Conducting UAT, process walkthroughs, conference room pilot Excellent communication skills (interpersonal, intercultural, written and verbal) and superior client relation skills Knowledge of general application architecture, databases and basic technical skills Ability to handle multiple competing priorities in a fast-paced environment Bachelor's degree or equivalent work experience Desired Skills/Experience Working experience in Accounts Receivables, Cash Management, GL accounting, Revenue Recognition and Indirect Taxes is a big plus Experienced with agile/scrum development methodologies Experience in global ERP implementation especially implementations related to North America , EMEA, APAC countries",7, Www.foundit.in,Secunderabad, Telangana,Full-time
Business Analyst - Client Reference Data - Banking operations...,"Responsibilities

Business Requirements:
• Animate workshops with business users to refine or clarify business requirements
• Study impacts of business requirements advising on options & RISKS
• Translate requirements into functional uses cases and specification documents
• Analyze and Challenge business requirements based on prioritization given by PO
• Help the PO and the team in decomposing requirements into MVP then into user stories
• Predict functional dependencies between teams working on the same platform.
• Understand technical constraints and participate to the product design.

Functional Specifications, User Stories, Design and Solutioning:

• Envision business flow and translate the same into technical implementation details highlighting the impacted components/features of the application.
• Participate to functional chapter of the tribe as part of tribe governance.
• Participate in Team Level for Daily stand up, Sprint planning, Retrospective, Demo and Backlog... Refinement

Testing and Quality Assurance:

• Implement test cases as per the test plan
• Work on the deliverables assigned as per the testing strategy
• Contribute to functional support activities of the team
• Contribute to deployment through functional pre-requisites and post-deployment checks
• Knowledge & Implementation of best practices and processes on functional testing activities.
• Implement Testing of functional hypotheses submitted by the PO.

Implementation Strategy and Support:
• , effort or schedule overruns, as per defined and agreed SLAs
• Trainings to be conducted on the business tools

• Help team members in solving their functional issues.
• Execute best practices and processes (ITIL) on production support activities

GDO-Required Competencies:

Behavioral Competencies: Autonomy, Verbal Communication, Active listening, Risk management and Problem solving, Accountability.
Leadership Competencies: Team spirit, Commitment, Responsibility, Client-oriented
Profile required

Profile Required
• This role desires a person who possesses a graduate or a post graduate degree with a minimum of 2 to 4 years of experience.
• He/she should have knowledge on sourcing of static data information of third parties from public and private data providers and analyzing, validating, proposing/updating the data in RCT, the SG group referential data base
• Good Knowledge on Client Reference data

Testing and Quality Assurance:

• Implement test cases as per the test plan
• Work on the deliverables assigned as per the testing strategy
• Contribute to functional support activities of the team
• Contribute to deployment through functional pre-requisites and post-deployment checks
• Knowledge & Implementation of best practices and processes on functional testing activities.
• Implement Testing of functional hypotheses submitted by the PO.

Implementation Strategy and Support:
• , effort or schedule overruns, as per defined and agreed SLAs
• Trainings to be conducted on the business tools
• • Help team members in solving their functional issues.
• Execute best practices and processes (ITIL) on production support activities
• Technical
• Knowledge in MS-Office tools
• Navigating through Regional Registries/Regulators, External Regulated Sources.
• Technical know-how of external providers will be an added advantage.
• Functional Fair knowledge on various regulations
• Excellent communication skills both written and oral
• Behavioral
• Drives for Results
• Effective Communication skills
• Solves problems and analyses issues
• Good Conceptual Skills
• Takes initiatives and ownership

Why join usWe are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.Business insight

At Societe Generale, we are convinced that people are drivers of change, and that the world of tomorrow will be shaped by all their initiatives, from the smallest to the most ambitious.

Whether you’re joining us for a period of months, years or your entire career, together we can have a positive impact on the future. Creating, daring, innovating and taking action are part of our DNA.

If you too want to be directly involved, grow in a stimulating and caring environment, feel useful on a daily basis and develop or strengthen your expertise, you will feel right at home with us!

Still hesitating?

You should know that our employees can dedicate several days per year to solidarity actions during their working hours, including sponsoring people struggling with their orientation or professional integration, participating in the financial education of young apprentices, and sharing their skills with charities. There are many ways to get involved",5, Société Générale,Chennai, Tamil Nadu,Full-time
Senior Business Analyst,"Overview

If you’re looking for a career that will help you stand out, join StoneX and fulfil your potential. StoneX offers opportunities, support and rewards that will take you further in terms of learning and career growth.

Responsibilities

We are currently seeking an experienced professional to join our team in the role of a Senior Business Analyst.

In this role, you will:
• Understand E2E business requirements and translate into functional flows and User Stories across a wide array of payments products and technologies in the Global Payments division of StoneX.
• To undertake business analyst roles covering SDLC phases (requirements gathering, feasibility study, functional specifications, interface specifications, test cases).
• Create business models (As-Is and To-Be) and logical data models representing business flows.
• Work in an agile cross functional team and collaborate with the business and architect team to help identify and define end to end flows and solutions.
•... Partner with the business as a member of the technology team and create and maintain the Functional design for the various modules in the platform.
• Identify, create, and maintain Functional Requirements as User Stories with detailed acceptance criteria with examples and Interface requirements with the mappings
• Document and maintain User Stories, Functional Design, and System Specification.
• Responsible for working closely with the Testing SME’s and reviewing test cases, PVT cases, testing results and help business in PVT.
• Own end to end implementation including the Quality of the deliverables
• Provide refined requirement walkthrough to project stakeholders

Requirements

Qualifications

To be successful in this role, you should meet the following requirements:
• 9-16 years of Business Analyst experience with working on Payment processing engine.
• Understanding of the various workstreams involved in Payment’s processing (payments validation and repair, Credit and Debit stack on payments, FX, Sanctions Check, clearing channels and accounting, Static Data, Reporting and Analytics).
• Experience on XML, ISO 20022, SWIFT and other industry standard formats messages.
• Knowledge of trading instruments like FX Spot, Forwards, NDF and the associated payments flows.
• Ability to understand customer business process and requirements and translate into a functional requirement across a wide array of products and technologies.
• Good communication skills (verbal, written, and presentation of complex information and data).
• Ability to create Process workflows, and Activity Diagrams in Visio and any other tool.
• Prior experience with breaking up of EPIC into User Stories and defining the acceptance criteria for them.
• Experience in BDD is preferred (Behaviour Driven Development)
• Excellent multitasking ability - Must have ability to track multiple issues, effectively manage time and competing priorities, and to drive results through partner organizations.
• Experience of working in a back-office environment in Payment domain
• Experience of time-critical regulatory projects in Banking is advantageous
• Awareness of protocols like C:D, FTPS, SFTP is desirable
• Awareness of story slicing and experience in story point estimation technique
• Experience in using any of the ALM tools like Azure / Jira is preferred.
• Basic knowledge on writing SQL queries for extractions required for the data analysis",3, LinkedIn,Pune, Maharashtra,Full-time
India - Business Analyst IV,"Description: Responsibilities: The Business Analyst collaborates with the Product Owner on requirements, business value scoring and success metrics. The BA drives the requirements gathering process that accurately reflects business needs which includes: risk analysis, as-is and to beprocess documentation, agnostic of a specific technical solution. The BA reviews technical solutions for compliance to business processes and objectives. The B+D6A coordinates end to end UAT cycle. The BA develops organizational change management framework communication, training, and post-implementation suppor+D12t. The BA also writes business level (feature group/functional success metrics) acceptance criteria. As a Business Analyst, you perform the core duties of a BA and typically work with medium to large BU requests that have issues, requests, or projects of moderate scope and complexity. You respond to problems, prioritize correctly, systematically gather information, sort through issues, seek input... from others, develop accurate conclusions from findings, and make timely decisions to prioritize and adapt to change. Experience relevant experience at Salesforce or two to three years of relevant experience elsewhere. following roles: technical support, project management and consulting.----Able to Work proactively on customer issues and resolve them in a timely manner Communicate at both the business and technical level (written and verbal) Work very comfortably with stakeholders at the department or division level. Juggle multiple issues, set expectations and prioritize accordingly Research and respond to customer questions Navigate complex situations involving multiple parties----Familiar with General Business Processes (Sales, Marketing, Service, Support) Business Applications (CRM) and Automation Salesforce Core product and features Force.com features and capabilities Internet Architecture and Cloud Computing Concepts General IT (database, security, networking) concepts and basic programming concepts. 6-8 Years of experience required",13, Www.foundit.in,Haiderabad, Uttar Pradesh,Full-time
IT Business Analyst,"Join us as a Technology Business Analyst
• Take on a critical role supporting the bank to achieve customer advocacy by eliciting and understanding the internal and external technology customer needs
• You'll be working in a vibrant, forward looking team and helping us to shape the future of our business
• It’s a great chance to hit the ground running, take advantage of our development opportunities, and advance your career

What you'll do

In your new role, you’ll be producing business requirements to inform future state design, supporting teams in understanding the requirements and their linkages to the overall domain strategy. In the course of your work, we’ll also look to you to build, manage and maintain a positive working relationship with stakeholders and third party suppliers across multiple franchises and functions.

You’ll also be:
• Supporting others to articulate the ideas and requirements in the format required by the team, such as use cases, user journeys, user stories... and illustrations
• Capturing, validating and documenting business and system requirements and making sure that they’re in line with key strategic principles
• Interacting with customers, key stakeholders and the team to obtain and document functional and non-functional needs
• Analysing existing system documentation to summarise existing system functionality as it relates to the work at hand
• Supporting the identification of team priorities based upon feedback from the customers, key stakeholders and the team

The skills you'll need

We’ll look to you to bring a good understanding of Agile values, principles and methodologies with experience of working within an Agile environment. Additionally, you’ll need to hold an appropriate business analyst certification.

You should be keen to predict and prepare for the future trends, and have experience in business analysis and elicitation of requirements, technical analysis and implementation with managing business, and technical analysis of complex Domain, cross franchise and pan group requirements.

You’ll also need:
• An appropriate Business Analyst Certification, such as BAX, CPRE, CBAP, and technical knowledge
• Experience of working in an environment where products have to be delivered to short delivery cycles
• Experience in Implementation of Payment changes and good experience in handling change processes
• Experience of applying business analysis tools and techniques
• Good communication skills, with the ability to communicate complex technical concepts clearly to your peers and management level colleagues
• Good collaboration and stakeholder management skills",0, NatWest Group Careers,Chennai, Tamil Nadu,Part-time
Business Analyst,"Qualifications
• Minimum 6-10 years related experience, or equivalent years related experience in requirements gathering and functional specifications in support of software development
• Expert at requirements elicitation using various techniques including meeting facilitation, requirements workshops, business process analysis, use cases, user stories, document analysis, site visits, business analysis, task and workflow analysis
• Ability to speak in front of, interact with, and elicit information from all organizational levels
• Translate business and data needs into system requirements for designers, developers and testers using requirements elicitation, analysis, specification, verification and management techniques
• Formulates and defines system scope and objectives through research and fact-finding combined with an understanding of applicable business systems
• Works on large, complex initiatives where analysis of situations or data requires an in-depth evaluation of variable... factors and proactive risk management
• Works on initiatives that address future concepts, products or technologies
• May oversee multiple projects that may have interdependencies
• Provides escalation assistance; recommends potential solutions to issues; follows established escalation procedures; resolves complex issues
• Experience logging items such as: defects, changes, and enhancements in a tracking tool
• Experience in writing requirements into user stories with relevant and clear acceptance criteria
• Participates in and/or leads Grooming sessions
• Leads the coordination of testing initiatives for large scale projects to include: test scenario definition, status tracking, and test planning
• Prepares and delivers informal and formal presentations to own team, department, other IT teams, business partners, and IT leadership

Qualified Applicants Must Also Possess The Following Skills/competencies
• Bachelor's degree preferred
• Excellent facilitation and written communication skills
• Strong analytical and problem solving skills
• Ability to provide leadership in procedural and technical capability including the ability to explain and educate others
• Experience with Agile Development (for example: KANBAN, SCRUM) is required

(ref:hirist.com",3, LinkedIn,Hyderabad, Telangana,Full-time
Business Analyst,"A role with HighRadius as a Data Analytics is a chance to help develop our in-house strength for getting the maximum value from existing TAM data assets. We positively impact changes across various initiatives, processes and interdependencies that require exceptional data collection, pattern finding, modeling, measurement and analysis - ultimately leading to quicker and more meaningful decision-making at HighRadius. As a part of an email marketing team, we expect you to be up-to-date with the latest digital technologies and social media trends. You should have excellent communication skills and be able to express our company's views creatively. Responsibilities - A minimum of 2 years Specific Experience: . Data analysis & reporting skills . Demonstrated expertise in an area of Project Management . Ability to work with and coordinate cross-functional efforts . Analytical and critical thinking skills . Exceptional communication and organizational skills . Demonstrated ability to work on... multiple projects at the same time, simultaneously managing working team and partner relationships . Champion One Team attitude . Segmentation of customers based on differing response patterns of our TAM. . Design and implementation of new dashboards for business users Responsibilities are: . Work with stakeholders to understand their business needs and identify opportunities for analysis insight to inform their decision-making . Understand and report to your team and senior management on business performance . Ensure delivery of regular reports on time and without error . Self-manage delivery of analytical projects . Defining the business problem . Determining the analytical approach . Efficiently extract relevant data . Appropriately use statistical and data analysis techniques . Sharing your findings using impactful data visualizations and efficient communication . Balance multiple priorities, updating stakeholders on progress and expected delivery. Desired Requirements: . Experience with Item attribution, Item tools & systems, master data . Possesses operational and technical aptitude and ability to interface with technical teams . Knowledge of email marketing platforms (like HubSpot, Pardot, and other spaces.) . Bachelor's/ Master's degree",3, Www.foundit.in,Bengaluru, Karnataka,Full-time
Business Analyst,"Job title :- Business Analyst Location: Pune About Barclays Barclays is a British universal bank. We are diversified by business, by different types of customers and clients, and by geography. Our businesses include consumer banking and payments operations around the world, as well as a top-tier, full service, global corporate and investment bank, all of which are supported by our service company which provides technology, operations and functional services across the Group. Risk and Control Objective Ensure that all activities and duties are carried out in full compliance with regulatory requirements, Enterprise Wide Risk Management Framework and internal Barclays Policies and Policy Standards. Working Flexibly We're committed to providing a supportive and inclusive culture and environment for you to work in. This environment recognises and supports ways to balance your personal needs, alongside the professional needs of our business. Providing the opportunity for all our employees... globally to work flexibly empowers each of us to work in a way that suits our lives as well as enabling us to better service our customers and clients needs. Whether you have family commitments or you're a carer, or whether you need study time or wish to pursue personal interests, our approach to working flexibly is designed to help you balance your life. If you would like some flexibility, then please discuss this with the hiring manager. Introduction: To capture business requirements with product owners and business stakeholders. To articulate and document user stories based on the business requirements To liaise with product owners and business stakeholders for technical teams queries To support technical teams for query resolution, UAT and business live proving Working as part of a team, encourage innovation & best practices. Problem solving with alternative approaches and in consultation with stakeholders What will you be doing Working closely with product owners and key stakeholders in understanding the functional and non-functional requirements Discuss various possible scenarios for the requirements Documenting requirements in the form of user stories and getting it approved from appropriate stake holders Hold requirements workshops with designers, test leads and development leads Review design and test strategy documents to ensure traceability between requirements and design Resolve queries raised by development and test teams Support user acceptance testing and business live proving Document learnings from the project to pass it on next project. What we're looking for: Thorough knowledge of banking and finance domain, processes involved and terminology used Thorough knowledge of Business requirements capturing, user story creation and scenario documentation Hands on experience in requirement analysis, query resolution and busines live proving support Good knowledge of collection and recovery systems, collection strategy, contact strategy for loans, mortgages, current account and cards The candidate should be well versed with collection and recovery system, operational process and user interface used by operational colleagues Data requirement for execution of any collection strategy or contact strategy Strong knowledge of Plan, Hold, Exceptions, Arrangements, Plan monitoring process in collection systems Strong Knowledge of Data interfaces with various collection and recovery systems, including upstream and downstream system Strong knowledge of Debt Management Companies and Debt Collection Agencies, data interfaces with third parties Skills that will help you in the role Data analysis Business Analysis certification Where will you be working Pune Be More at Barclays At Barclays, each day is about being more - as a professional, and as a person. Be More @ Barclays represents our core promise to all current and future employees. It's the characteristic that we want to be associated with as an employer, and at the heart of every employee experience. We empower our colleagues to Be More Globally Connected, working on international projects that improve the way millions of customers handle their finances. Be More Inspired by working alongside the most talented people in the industry, and delivering imaginative new solutions that are redefining the future of finance. Be More Impactful by having the opportunity to work on cutting-edge projects, and Be More Valued for who you are. Interested and want to know more about Barclays Visit home.barclays/who-we-are/ for more details. Purpose, Values and Mindset We deploy finance responsibly to support people and businesses, acting with empathy and integrity, championing innovation and sustainability, for the common good and the long term. Our values underpin everything we do: Respect, Integrity, Service, Excellence and Stewardship. Respect We harness the power of diversity and inclusion in our business, trust those we work with, and value everyone's contribution. Integrity We operate with honesty, transparency and fairness in all we do. Service We act with empathy and humility, putting the people and businesses we serve at the centre of what we do. Excellence We champion innovation, and use our energy, expertise and resources to make a positive difference. Stewardship We prize sustainability, and are passionate about leaving things better than we found them. Our Mindset shapes how we take action, living by our Values, driven by our Purpose, always with our customers and clients at the heart of what we do our Mindset is to Empower, Challenge and Drive. Empower Trust and support each other to deliver. Make decisions with those closest to the topic. Include diverse perspectives. Celebrate success and learn from failure. Challenge Question whether things can be done better. Use insights based on data to inform decisions. Be curious about how we can adapt and improve. Speak up and be open to alternative viewpoints. Drive Focus on outcomes. Deliver with pace. Be passionate and ambitious about what we do. Take personal responsibility. Actively build collaborative relationships to get things done",15, Www.foundit.in,Pune, Maharashtra,Full-time
Business Analyst-Telecom,"Job Title: Business Analyst / Process Designer

Experience: 5-10 Years

Job Location: Mumbai (Chandivali), Noida, Pune, Bangalore, Chennai

Roles & Responsibilities:

• Lead the development of service designs / BA / Process Designer and provide service solutions for new / existing customer’s business opportunities in the Customer’s Service arena

• To lead/manage End to End service delivery and service assurance for customers Telecom products requirement

• Interacting with end customer, customer senior managers and product managers, Bid Manager and Solution Architect regularly to ensure the developments are in line with the customer requirements and obtain necessary approvals

• Constant Interacting with the virtual team to co-ordinate progress and issue resolution to meet customer requirement and achieve target date

• Preparing service solution document (Service Delivery / Assurance)

• Preparing cost model for operational requirement expenditures

• Work closely with Bid... Management team to convert customer requirement proposal into contract

Required Skills:

• Good understanding in telecom products –Wireline / Wireless

• Strong Communication and analytical skills. Effective inter-personal, leadership qualities

• Workshop leadership and stakeholder management, including the ability to lead and steer discussions through to positive outcomes.

• Flexible approach and highly self-motivated

• Understanding of fulfilment and assurance processes of telecom products

• Product understanding in any of the mentioned products – Voice, VPN, LAN, WAN etc

• Good understanding of technology used in delivering the above product– such as network technology used for delivering service to the customer (Access & Core Network, Routers, CPE, Switches etc.)

• ITIL and eTOM understanding

• Model the processes using process modelling tools like Visio / ARIS

• OSS and BSS understanding

Optional Skills:

• Understanding of Business Analysts role

• Work experience in Networking area, Network design / network operational planning

• Knowledge of Financial and commercial awareness.

• Awareness of Business Process Management, modeling tools and techniques.

• Understanding of preparing a project schedule (in MPP/Excel)

• Exposure in preparation of impact Analysis, Service operations models and operational costing",4, LinkedIn,Bengaluru, Karnataka,Full-time
"Consultant, Business Analyst (4.5-6 years) with skills Analytics...","ROLES & RESPONSIBILITIES Strong experience in building applications from the scratch using mandatory skills. Deep expertise in Microsoft Graph API, JavaScript, design patterns, and developer tooling with 5+ years of experience. Must have 3+ years of hands-on experience with proficiency in Node JS, Angular JS 6+, React, HTML, CSS, Bootstrap, jQuery, JSON, XML, AJAX, Object-oriented JavaScript. Experience in Mongo/Elastic/Solr Databases and ability to build and maintain databases from scratch. Experience in Git. Experience in other back-end technologies like PHP/Python/Java is optional. Ability to build own utility functions rather than depending on third-party libraries. Ability to tackle sophisticated CSS and JS issues with quick turn-around. Experience working with any CMS platform e.g., AEM, is a strong plus. Knowledge and experience in developing software using agile methodologies. In-depth understanding of the entire web development process (planning, design, development, and... deployment) Strong Creative and Graphics Skills. Should have experience in leading multiple concurrent projects. Self-starter who takes initiative and can work independently. Ability to quickly comprehend dynamic enterprise workflows and processes. Excellent written and oral communication skills Ability to communicate effectively with technical and non-technical audiences. Ability to work in a geographically distributed team. Knowledge of Adobe products and services would be an added advantage",4, Www.foundit.in,Bengaluru, Karnataka,Full-time
Business analyst,"• Requirement gathering for web and app development projects
• Preparation of necessary docs(RFP, SOW, NDAs and POC) for the clients requirement.
• Understanding the default software/applications products and services of Webkul and its functionalities(at workflow level) for a personalized explanation of the same to the clients.
• Handling customer's pre-sales and post-sales queries over various communication
• mediums like calls/ mails/ skype/ helpdesk/ social networking sites.
• Project assignment and being clients major communication for ongoing projects.
• Managing project delivery(It covers check of all the SOW points agreed)
• Assigning the technical queries/issues of clients to the technical departments.
• Preparing a full User guide(technical doc/content) of the products for Webkul’s products, Services and customers in written and video format as well.
• Attending international as well as domestic seminars and conferences regarding the promotion of the products with the... presentation.
• Market research of the products.
• Responsible for new partnerships of the organization, acting as a bridge between
• client-side and organization.
Skills:- Business Development, Business requirements, Presales, IT service management, IT consulting, B2B Marketing, Marketing Strategy, Client Management, Client Servicing, Customer Relationship Management (CRM), Marketing & Communication, Customer Support, Inbound Marketing, Product Marketing, SaaS, Odoo (OpenERP), Magento, Shopify and Wordpress",1, LinkedIn,Noida, Uttar Pradesh,Full–time
Business Analyst - PowerBI,"JOB DESCRIPTION Job description . Go Getter and ready to take ownership Power BI Developer will be responsible for design and development of Power BI analytical reports from diverse data sources. . The role will cover complete systems development life cycle (SDLC) phases including requirements gathering, data analysis, data modeling, Reports and dashboards development, implementation, and post-implementation support. . During the design phase, the role will work closely with the other stakeholders to produce data models that follow industry best practices and company standards. . During the development phase, the role will perform reports and dashboards development using DAX and M Query, publish reports to Power BI and security configurations. JOB REQUIREMENT Responsibilities . Ability to design, build, test debug analytical reports using Power BI. Analyze data sources and processes to design an optimal data models in Power BI. Design and develop high-performance reports with optimal... Queries and DAX. Collaborate with the team to architect reports security . Should be able to write high-performance SQL queries. Ability to design custom tables in Power BI. Should be able to perform data extraction and transformation as required. Implement changes and provide post-implementation user support and system support. Other duties and responsibilities as assigned by your manager. Knowledge / Skills / Abilities: . 1 to 4 years of BI Analytics development experience (with a primary focus on Microsoft) . 3+ years of Microsoft Power BI experience (Power BI, Power Pivot, Power Query, Power View). . Strong understanding of SQL, T-SQL, or similar database programming technologies . Able to work independently to implement a solution with minimal guidance. . Communicate effectively with both business, technical stakeholders . Experience in creating dashboards, Client base, inflow/ outflow, volume reports, operating summaries, and presentations and graphs. . Experience in Data Gateway for data refreshing, content Pack Library. . Expert in publishing reports to app.powerbi.com and setting up the necessary connection details and scheduling. . Excellent knowledge connecting Microsoft Power BI Desktop to various data sources. SQL Server is desirable. . Experience in Custom Visuals and Groups Creation. . Experience in Managing Embed Codes is added advantage . Experience on Snowflake, Salesforce, and Gainsight would be preferable . Flexible to work in Late evening/night shift . Any/Computer science graduate",11, Www.foundit.in,Pune, Maharashtra,Full–time
Senior Business Analyst Trade Operations,"Job Title: Lead Business Analyst

Location: Mumbai (Work From Office Only)

Experience: 10+ years

Responsibilities:
• Writing and Reviewing BRDs, FSDs, User Stories and working closely with Business and operations stakeholders for requirement analysis for Central Trade BA Team.
• Needs to be involved in the requirements gathering, writing of the business requirements, functional specifications and GAP analysis for business requirement. Needs to liaise up with the development team, TCOE, coordinate UAT and be involved in production implementation.
• Also Maintain functional documentation repository, present User stories to IT team (Paris + India) in grooming sessions, demonstrate new features to PO (Paris + India) and End-Users (worldwide)
• Manage the project SDLC/ Agile governance and QA activities

Technical & Behavioral Competencies

The candidate should have strong functional skills and excellent communication skills. Should be able to manage the team of 4-5 users.

The job... requires domain knowledge as under:
• In depth knowledge on Trade Finance (Letter of Credit, Documentary Collections, Guarantees).
• Knowledge on Risk and Compliance related to Banking and Trade Finance.
• Good understanding of the Trade Finance Swift Messages.

Specific Qualifications:
• Around 10-15 years overall BFSI domain.
• 5-8 year’s minimum experience of Trade finance products.
• Good Knowledge of Oracle Database (PL/SQL Queries), 3-tier architecture, Web application server, API’s

Education :-

- B.E./B.Tech, Graduates, Post Graduate

Nice to have :

Certification in Trade Finance

Working knowledge of Shell commands/batches, Linux/Unix commands",2, LinkedIn,Mumbai, Maharashtra,Full–time
